Bigram,Frequency
"('people', 'death')",4
"('yall', 'much')",4
"('even', 'know')",4
"('im', 'finished')",4
"('may', 'proceed')",4
"('please', 'tell')",4
"('family', 'victims')",4
"('hurt', 'lot')",4
"('first', 'foremost')",4
"('time', 'im')",4
"('would', 'killed')",4
"('family', 'may')",4
"('hope', 'yall')",4
"('god', 'thank')",4
"('people', 'sorry')",4
"('love', 'daughter')",4
"('yall', 'always')",4
"('yall', 'thank')",4
"('yall', 'thats')",4
"('family', 'want')",4
"('never', 'wanted')",4
"('know', 'happened')",4
"('peace', 'love')",4
"('caused', 'would')",4
"('apologize', 'family')",4
"('hate', 'heart')",4
"('see', 'soon')",4
"('please', 'accept')",4
"('father', 'love')",4
"('jesus', 'take')",4
"('love', 'children')",4
"('statement', 'would')",4
"('see', 'family')",4
"('family', 'please')",4
"('love', 'may')",4
"('back', 'cant')",4
"('family', 'people')",4
"('wife', 'love')",4
"('wanted', 'say')",4
"('thank', 'everybody')",4
"('home', 'jesus')",4
"('one', 'yall')",4
"('thank', 'friendship')",4
"('sorry', 'never')",4
"('sorry', 'victims')",4
"('solve', 'anything')",4
"('life', 'would')",4
"('lord', 'give')",4
"('last', 'words')",4
"('love', 'ya')",4
"('baby', 'love')",4
"('nieces', 'nephews')",4
"('sorry', 'everything')",4
"('cant', 'take')",4
"('dont', 'let')",4
"('yall', 'strong')",4
"('yes', 'first')",4
"('see', 'later')",4
"('everything', 'done')",4
"('lets', 'get')",4
"('caused', 'lot')",4
"('back', 'would')",4
"('nothing', 'say')",4
"('coming', 'home')",4
"('tell', 'victims')",4
"('forgive', 'god')",4
"('heart', 'soul')",4
"('thank', 'coming')",4
"('bye', 'bye')",4
"('sorry', 'put')",4
"('man', 'love')",4
"('brings', 'peace')",4
"('witness', 'god')",4
"('warden', 'love')",4
"('wanted', 'kill')",4
"('mama', 'love')",4
"('shepherd', 'shall')",4
"('shall', 'want')",4
"('lie', 'green')",4
"('green', 'pastures')",4
"('beside', 'still')",4
"('still', 'waters')",4
"('yea', 'though')",4
"('though', 'walk')",4
"('walk', 'valley')",4
"('valley', 'shadow')",4
"('shadow', 'death')",4
"('death', 'fear')",4
"('fear', 'evil')",4
"('evil', 'thou')",4
"('thou', 'art')",4
"('thou', 'preparest')",4
"('preparest', 'table')",4
"('table', 'presence')",4
"('head', 'oil')",4
"('oil', 'cup')",4
"('cup', 'runneth')",4
"('never', 'forget')",4
"('cant', 'say')",4
"('us', 'trespasses')",4
"('trespasses', 'forgive')",4
"('forgive', 'trespass')",4
"('trespass', 'us')",4
"('evil', 'thine')",4
"('thine', 'kingdom')",4
"('kingdom', 'power')",4
"('power', 'glory')",4
"('polunsky', 'dungeon')",4
"('nothing', 'else')",4
"('peace', 'know')",4
"('john', 'gomez')",4
"('done', 'know')",4
"('john', 'adams')",4
"('pain', 'sorrow')",4
"('please', 'lord')",4
"('forgive', 'done')",4
"('forgiveness', 'ask')",4
"('jesus', 'receive')",4
"('sorry', 'wish')",4
"('god', 'give')",4
"('heart', 'know')",4
"('want', 'understand')",4
"('mean', 'hurt')",4
"('say', 'anything')",4
"('brought', 'us')",4
"('irene', 'love')",4
"('never', 'knew')",4
"('crime', 'commit')",4
"('peace', 'want')",4
"('one', 'love')",4
"('saying', 'want')",4
"('family', 'truly')",4
"('friend', 'mine')",4
"('good', 'day')",4
"('caused', 'love')",4
"('knew', 'would')",4
"('say', 'first')",4
"('got', 'ta')",4
"('lot', 'pain')",4
"('continue', 'struggle')",4
"('forgive', 'pain')",4
"('could', 'get')",4
"('officer', 'boswell')",4
"('want', 'talk')",4
"('mean', 'know')",4
"('people', 'must')",4
"('freedom', 'liberation')",4
"('means', 'necessary')",4
"('marching', 'black')",4
"('hold', 'nothing')",4
"('ye', 'shall')",4
"('woe', 'unto')",4
"('years', 'would')",4
"('nothing', 'love')",4
"('yes', 'maam')",3
"('take', 'responsibility')",3
"('love', 'pray')",3
"('like', 'sing')",3
"('apologize', 'im')",3
"('human', 'beings')",3
"('thank', 'field')",3
