Bigram,Frequency
"('stereo', 'equipment')",3
"('took', 'several')",3
"('home', 'victims')",3
"('later', 'pawned')",3
"('open', 'window')",3
"('burglarizing', 'residence')",3
"('caliber', 'handgun')",3
"('beaten', 'around')",3
"('codefendant', 'shot')",3
"('men', 'shot')",3
"('survived', 'identify')",3
"('close', 'range')",3
"('sawedoff', 'shotgun')",3
"('fled', 'cash')",3
"('february', 'robberyslaying')",3
"('later', 'recovered')",3
"('death', 'october')",3
"('police', 'returned')",3
"('found', 'victim')",3
"('wounds', 'chest')",3
"('fired', 'shots')",3
"('least', 'one')",3
"('broke', 'home')",3
"('strangled', 'year')",3
"('two', 'children')",3
"('car', 'outside')",3
"('shot', 'second')",3
"('items', 'including')",3
"('items', 'home')",3
"('attempted', 'rape')",3
"('police', 'two')",3
"('murder', 'connection')",3
"('victim', 'bedroom')",3
"('video', 'store')",3
"('yearold', 'elizabeth')",3
"('stereo', 'system')",3
"('left', 'apartment')",3
"('two', 'months')",3
"('outside', 'home')",3
"('apartment', 'door')",3
"('theback', 'ofthehead')",3
"('people', 'shot')",3
"('charges', 'disposition')",3
"('entered', 'store')",3
"('isolated', 'location')",3
"('drove', 'away')",3
"('three', 'shots')",3
"('store', 'owner')",3
"('even', 'though')",3
"('fabio', 'buitrago')",3
"('bound', 'duct')",3
"('shopping', 'center')",3
"('car', 'police')",3
"('convicted', 'inthe')",3
"('aggravated', 'assault')",3
"('july', 'robbery')",3
"('stabbed', 'knife')",3
"('could', 'buy')",3
"('killing', 'convicted')",3
"('following', 'killing')",3
"('taken', 'residence')",3
"('bedroom', 'window')",3
"('fingerprints', 'later')",3
"('vehicle', 'shot')",3
"('decided', 'rob')",3
"('tied', 'behind')",3
"('secluded', 'area')",3
"('killing', 'arrested')",3
"('driven', 'isolated')",3
"('car', 'driven')",3
"('abducted', 'car')",3
"('near', 'intersection')",3
"('october', 'murder')",3
"('murder', 'december')",3
"('mcwilliams', 'accomplices')",3
"('short', 'distance')",3
"('trinity', 'river')",3
"('throat', 'slashed')",3
"('conviction', 'convicted')",3
"('march', 'robbery')",3
"('west', 'tyler')",3
"('prison', 'sentence')",3
"('stop', 'go')",3
"('yearold', 'owner')",3
"('patterson', 'walked')",3
"('community', 'center')",3
"('center', 'houston')",3
"('two', 'shots')",3
"('district', 'attorneys')",3
"('managed', 'escape')",3
"('inside', 'car')",3
"('october', 'stabbing')",3
"('beaten', 'head')",3
"('eight', 'times')",3
"('arrested', 'three')",3
"('night', 'manager')",3
"('pistol', 'robbery')",3
"('convicted', 'strangulation')",3
"('stabbed', 'several')",3
"('times', 'kitchen')",3
"('raped', 'beaten')",3
"('death', 'tire')",3
"('days', 'murder')",3
"('murder', 'following')",3
"('miles', 'north')",3
"('died', 'next')",3
"('head', 'injuries')",3
"('new', 'mexico')",3
"('area', 'near')",3
"('amount', 'cash')",3
"('none', 'convicted')",3
"('burglary', 'home')",3
"('scene', 'convicted')",3
"('convicted', 'beating')",3
"('also', 'stabbed')",3
"('houston', 'apartment')",3
"('telephone', 'cord')",3
"('convicted', 'thejanuary')",3
"('crime', 'police')",3
"('head', 'shotgun')",3
"('fled', 'store')",3
"('shot', 'thehead')",3
"('four', 'victims')",3
"('multiple', 'gunshot')",3
"('also', 'suspect')",3
"('san', 'benito')",3
"('convicted', 'stabbing')",3
"('death', 'dallas')",3
"('shot', 'heart')",3
"('sentenced', 'years')",3
"('victims', 'white')",3
"('trailer', 'shot')",3
"('found', 'two')",3
"('car', 'drove')",3
"('liquor', 'store')",3
"('gauge', 'shotgun')",3
"('found', 'body')",3
"('kristi', 'koslow')",3
"('lie', 'floor')",3
"('gave', 'voluntary')",3
"('burglarized', 'apartment')",3
"('worked', 'maintenance')",3
"('maintenance', 'man')",3
"('arrested', 'home')",3
"('lived', 'next')",3
"('june', 'robberyslaying')",3
"('th', 'st')",3
"('killed', 'convicted')",3
"('national', 'bank')",3
"('october', 'shooting')",3
"('death', 'caliber')",3
"('university', 'texas')",3
"('texas', 'student')",3
"('withdraw', 'money')",3
"('found', 'buried')",3
"('murder', 'arrested')",3
"('th', 'circuit')",3
"('death', 'second')",3
"('gene', 'hathom')",3
"('would', 'kill')",3
"('given', 'death')",3
"('strangulation', 'death')",3
"('convicted', 'january')",3
"('murder', 'april')",3
"('received', 'life')",3
"('appeals', 'ruled')",3
"('de', 'la')",3
"('la', 'cruz')",3
"('death', 'row')",3
"('death', 'sentence')",3
"('anil', 'varughese')",3
"('murder', 'stabbing')",3
"('fired', 'job')",3
"('two', 'weeks')",3
"('officer', 'roberts')",3
"('juror', 'improperly')",3
"('escape', 'attempt')",3
"('robbery', 'attempt')",3
"('open', 'safe')",3
"('harris', 'co')",3
"('murder', 'august')",3
"('execution', 'date')",3
"('convictedin', 'thedecember')",2
"('home', 'white')",2
"('galveston', 'county')",2
"('county', 'tx')",2
"('tx', 'subject')",2
"('old', 'sons')",2
"('choked', 'victim')",2
"('attempting', 'rape')",2
"('fatally', 'shooting')",2
"('dallas', 'cantu')",2
"('april', 'robbery')",2
"('yearold', 'robert')",2
"('murphy', 'forced')",2
"('victim', 'trunk')",2
"('four', 'people')",2
"('houston', 'residence')",2
"('accomplices', 'entered')",2
"('home', 'jose')",2
"('separate', 'rooms')",2
"('tovar', 'jessica')",2
"('jessica', 'quinones')",2
"('seven', 'months')",2
"('two', 'others')",2
"('loaded', 'mm')",2
"('night', 'dallas')",2
"('stabbed', 'year')",2
"('shot', 'white')",2
"('white', 'males')",2
"('killing', 'occurred')",2
"('strangled', 'yearold')",2
"('robbed', 'killed')",2
"('led', 'arrest')",2
"('head', 'pistol')",2
"('around', 'front')",2
"('twice', 'back')",2
"('home', 'murdered')",2
"('stole', 'money')",2
"('codefendant', 'entered')",2
"('male', 'intent')",2
"('august', 'dallas')",2
"('wife', 'yearold')",2
"('residence', 'yearold')",2
"('intent', 'burglarize')",2
"('victim', 'transported')",2
"('incarcerated', 'tdcj')",2
"('stabbed', 'yearold')",2
"('fatally', 'strangled')",2
"('black', 'electrical')",2
"('knocked', 'victims')",2
"('inside', 'house')",2
"('female', 'stabbed')",2
"('stabbed', 'victims')",2
"('resulting', 'deaths')",2
"('hours', 'subject')",2
"('picked', 'victim')",2
"('robert', 'joseph')",2
"('later', 'kidnapped')",2
"('karen', 'coble')",2
"('two', 'money')",2
"('male', 'resulting')",2
"('beaten', 'blunt')",2
